mean,RMS,ptp,std,max,min
20.498,20.499,0.156,0.033,20.569,20.413
20.499,20.499,0.156,0.033,20.569,20.413
20.499,20.499,0.156,0.032,20.569,20.413
20.5,20.5,0.156,0.032,20.569,20.413
20.5,20.5,0.156,0.032,20.569,20.413
20.5,20.5,0.156,0.032,20.569,20.413
20.5,20.5,0.156,0.032,20.569,20.413
20.501,20.501,0.156,0.032,20.569,20.413
20.501,20.501,0.156,0.031,20.569,20.413
20.5,20.5,0.156,0.031,20.569,20.413
20.499,20.499,0.156,0.031,20.569,20.413
20.5,20.5,0.156,0.031,20.569,20.413
20.5,20.5,0.156,0.031,20.569,20.413
20.501,20.501,0.156,0.03,20.569,20.413
20.501,20.501,0.156,0.03,20.569,20.413
20.501,20.501,0.156,0.03,20.569,20.413
20.502,20.502,0.156,0.031,20.569,20.413
20.502,20.502,0.156,0.03,20.569,20.413
20.501,20.501,0.156,0.031,20.569,20.413
20.501,20.501,0.156,0.032,20.569,20.413
20.5,20.5,0.156,0.032,20.569,20.413
20.499,20.499,0.135,0.032,20.548,20.413
20.498,20.498,0.135,0.032,20.548,20.413
20.498,20.498,0.135,0.032,20.548,20.413
20.499,20.499,0.135,0.032,20.548,20.413
20.499,20.499,0.135,0.032,20.548,20.413
20.498,20.498,0.135,0.033,20.548,20.413
20.497,20.497,0.135,0.033,20.548,20.413
20.497,20.497,0.135,0.033,20.548,20.413
20.497,20.497,0.135,0.033,20.548,20.413
20.495,20.495,0.135,0.034,20.548,20.413
20.496,20.496,0.135,0.034,20.548,20.413
20.496,20.496,0.14,0.034,20.553,20.413
20.497,20.497,0.14,0.035,20.553,20.413
20.497,20.497,0.14,0.035,20.553,20.413
20.497,20.497,0.14,0.035,20.553,20.413
20.497,20.497,0.14,0.036,20.553,20.413
20.496,20.496,0.14,0.037,20.553,20.413
20.496,20.496,0.14,0.037,20.553,20.413
20.495,20.495,0.14,0.037,20.553,20.413
20.495,20.495,0.14,0.037,20.553,20.413
20.495,20.495,0.14,0.037,20.553,20.413
20.495,20.495,0.14,0.037,20.553,20.413
20.494,20.494,0.14,0.037,20.553,20.413
20.494,20.494,0.14,0.037,20.553,20.413
20.493,20.493,0.14,0.037,20.553,20.413
20.493,20.493,0.14,0.037,20.553,20.413
20.493,20.493,0.14,0.037,20.553,20.413
20.492,20.492,0.14,0.037,20.553,20.413
20.492,20.492,0.14,0.037,20.553,20.413
20.493,20.493,0.147,0.038,20.56,20.413
20.493,20.493,0.147,0.038,20.56,20.413
20.492,20.492,0.147,0.038,20.56,20.413
20.492,20.492,0.147,0.038,20.56,20.413
20.494,20.494,0.147,0.037,20.56,20.413
20.494,20.494,0.147,0.037,20.56,20.413
20.494,20.494,0.147,0.038,20.56,20.413
20.494,20.494,0.147,0.038,20.56,20.413
20.493,20.493,0.147,0.038,20.56,20.413
20.492,20.492,0.147,0.038,20.56,20.413
20.492,20.492,0.147,0.039,20.56,20.413
20.492,20.492,0.147,0.039,20.56,20.413
20.492,20.492,0.147,0.038,20.56,20.413
20.494,20.494,0.152,0.038,20.565,20.413
20.493,20.493,0.152,0.038,20.565,20.413
20.493,20.493,0.152,0.038,20.565,20.413
20.495,20.495,0.152,0.038,20.565,20.413
20.495,20.495,0.152,0.039,20.565,20.413
20.496,20.496,0.152,0.039,20.565,20.413
20.496,20.496,0.152,0.039,20.565,20.413
20.495,20.495,0.152,0.039,20.565,20.413
20.496,20.496,0.152,0.04,20.565,20.413
20.496,20.496,0.152,0.04,20.565,20.413
20.496,20.496,0.152,0.04,20.565,20.413
20.496,20.496,0.152,0.041,20.565,20.413
20.497,20.497,0.152,0.041,20.565,20.413
20.496,20.496,0.152,0.041,20.565,20.413
20.496,20.496,0.152,0.041,20.565,20.413
20.496,20.496,0.152,0.041,20.565,20.413
20.496,20.496,0.152,0.041,20.565,20.413
20.496,20.496,0.152,0.041,20.565,20.413
20.496,20.496,0.15,0.04,20.565,20.415
20.497,20.497,0.15,0.04,20.565,20.415
20.498,20.498,0.15,0.04,20.565,20.415
20.499,20.499,0.15,0.04,20.565,20.415
20.499,20.499,0.15,0.04,20.565,20.415
20.499,20.499,0.15,0.04,20.565,20.415
20.499,20.499,0.15,0.04,20.565,20.415
20.498,20.498,0.15,0.04,20.565,20.415
20.498,20.498,0.15,0.04,20.565,20.415
20.497,20.497,0.15,0.04,20.565,20.415
20.497,20.497,0.15,0.04,20.565,20.415
20.498,20.498,0.15,0.04,20.565,20.415
20.498,20.498,0.15,0.04,20.565,20.415
20.498,20.498,0.15,0.041,20.565,20.415
20.498,20.498,0.15,0.041,20.565,20.415
20.498,20.498,0.15,0.041,20.565,20.415
20.498,20.498,0.15,0.041,20.565,20.415
20.498,20.498,0.15,0.041,20.565,20.415
20.498,20.498,0.15,0.041,20.565,20.415
20.498,20.498,0.15,0.041,20.565,20.415
20.497,20.497,0.15,0.041,20.565,20.415
20.497,20.497,0.15,0.041,20.565,20.415
20.497,20.497,0.15,0.041,20.565,20.415
20.496,20.496,0.15,0.041,20.565,20.415
20.496,20.496,0.15,0.041,20.565,20.415
20.496,20.496,0.15,0.041,20.565,20.415
20.495,20.495,0.15,0.041,20.565,20.415
20.495,20.495,0.15,0.041,20.565,20.415
20.496,20.496,0.15,0.04,20.565,20.415
20.496,20.496,0.15,0.04,20.565,20.415
20.497,20.497,0.15,0.039,20.565,20.415
20.497,20.497,0.15,0.039,20.565,20.415
20.497,20.497,0.15,0.039,20.565,20.415
20.496,20.497,0.15,0.039,20.565,20.415
20.496,20.496,0.15,0.039,20.565,20.415
20.496,20.496,0.15,0.039,20.565,20.415
20.496,20.496,0.15,0.039,20.565,20.415
20.496,20.496,0.15,0.039,20.565,20.415
20.496,20.496,0.15,0.039,20.565,20.415
20.497,20.497,0.15,0.038,20.565,20.415
20.497,20.497,0.15,0.037,20.565,20.415
20.496,20.496,0.15,0.037,20.565,20.415
20.495,20.495,0.15,0.037,20.565,20.415
20.495,20.495,0.15,0.036,20.565,20.415
20.496,20.496,0.15,0.036,20.565,20.415
20.496,20.496,0.15,0.036,20.565,20.415
20.497,20.497,0.13,0.036,20.565,20.435
20.499,20.499,0.156,0.037,20.591,20.435
20.499,20.499,0.156,0.037,20.591,20.435
20.499,20.499,0.156,0.037,20.591,20.435
20.498,20.498,0.156,0.037,20.591,20.435
20.498,20.498,0.156,0.037,20.591,20.435
20.499,20.499,0.156,0.037,20.591,20.435
20.499,20.499,0.156,0.037,20.591,20.435
20.499,20.499,0.156,0.036,20.591,20.435
20.499,20.499,0.156,0.036,20.591,20.435
20.498,20.498,0.156,0.036,20.591,20.435
20.499,20.499,0.156,0.036,20.591,20.435
20.499,20.499,0.156,0.036,20.591,20.435
20.498,20.498,0.156,0.035,20.591,20.435
20.497,20.497,0.156,0.035,20.591,20.435
20.498,20.498,0.156,0.035,20.591,20.435
20.497,20.497,0.156,0.035,20.591,20.435
20.497,20.497,0.156,0.034,20.591,20.435
20.496,20.496,0.156,0.034,20.591,20.435
20.496,20.496,0.156,0.034,20.591,20.435
20.496,20.497,0.156,0.034,20.591,20.435
20.497,20.497,0.147,0.034,20.591,20.444
20.498,20.498,0.147,0.033,20.591,20.444
20.498,20.498,0.146,0.033,20.591,20.445
20.498,20.498,0.146,0.033,20.591,20.445
20.498,20.498,0.151,0.033,20.591,20.44
20.497,20.497,0.151,0.033,20.591,20.44
20.498,20.498,0.151,0.032,20.591,20.44
20.498,20.498,0.151,0.032,20.591,20.44
20.497,20.497,0.151,0.032,20.591,20.44
20.496,20.496,0.151,0.031,20.591,20.44
20.495,20.495,0.151,0.03,20.591,20.44
20.495,20.495,0.151,0.031,20.591,20.44
20.496,20.496,0.151,0.031,20.591,20.44
20.495,20.495,0.151,0.03,20.591,20.44
20.495,20.495,0.151,0.03,20.591,20.44
20.495,20.495,0.151,0.029,20.591,20.44
20.494,20.494,0.151,0.028,20.591,20.44
20.494,20.494,0.151,0.028,20.591,20.44
20.494,20.494,0.151,0.028,20.591,20.44
20.495,20.495,0.151,0.028,20.591,20.44
20.495,20.495,0.151,0.028,20.591,20.44
20.494,20.494,0.151,0.027,20.591,20.44
20.494,20.494,0.151,0.027,20.591,20.44
20.493,20.493,0.151,0.027,20.591,20.44
20.494,20.494,0.151,0.027,20.591,20.44
20.493,20.493,0.151,0.027,20.591,20.44
20.492,20.492,0.151,0.026,20.591,20.44
20.492,20.492,0.151,0.026,20.591,20.44
20.492,20.492,0.151,0.026,20.591,20.44
20.492,20.492,0.151,0.026,20.591,20.44
20.492,20.492,0.151,0.026,20.591,20.44
20.493,20.493,0.151,0.026,20.591,20.44
20.493,20.493,0.151,0.026,20.591,20.44
20.493,20.493,0.151,0.026,20.591,20.44
