"No.","Time","Source","Destination","Protocol","Address","Length","Name","Info"
"134","6.788458","10.169.156.72","142.250.184.110","TCP","","66","","49514  >  443 [ACK] Seq=2324 Ack=13141 Win=129600 Len=0 TSval=495590086 TSecr=2034985617"
"135","6.788770","142.250.184.110","10.169.156.72","TLSv1.3","","1484","","Application Data"
"136","6.788775","142.250.184.110","10.169.156.72","TLSv1.3","","1484","","Application Data"
"137","6.788828","10.169.156.72","142.250.184.110","TCP","","66","","49514  >  443 [ACK] Seq=2324 Ack=15977 Win=128192 Len=0 TSval=495590086 TSecr=2034985617"
"138","6.788862","10.169.156.72","142.250.184.110","TCP","","66","","[TCP Window Update] 49514  >  443 [ACK] Seq=2324 Ack=15977 Win=131072 Len=0 TSval=495590086 TSecr=2034985617"
"139","6.789027","142.250.184.110","10.169.156.72","TLSv1.3","","1484","","Application Data"
"140","6.789033","142.250.184.110","10.169.156.72","TLSv1.3","","1484","","Application Data"
"141","6.789072","10.169.156.72","142.250.184.110","TCP","","66","","49514  >  443 [ACK] Seq=2324 Ack=18813 Win=128192 Len=0 TSval=495590086 TSecr=2034985617"
"142","6.789179","10.169.156.72","142.250.184.110","TCP","","66","","[TCP Window Update] 49514  >  443 [ACK] Seq=2324 Ack=18813 Win=131072 Len=0 TSval=495590086 TSecr=2034985617"
"143","6.789813","142.250.184.110","10.169.156.72","TLSv1.3","","1484","","Application Data"
"144","6.789817","142.250.184.110","10.169.156.72","TLSv1.3","","1463","","Application Data"
"145","6.789858","10.169.156.72","142.250.184.110","TCP","","66","","49514  >  443 [ACK] Seq=2324 Ack=21628 Win=128256 Len=0 TSval=495590087 TSecr=2034985617"
"146","6.790135","142.250.184.110","10.169.156.72","TLSv1.3","","1484","","Application Data"
"147","6.790139","142.250.184.110","10.169.156.72","TLSv1.3","","1484","","Application Data"
"148","6.790141","142.250.184.110","10.169.156.72","TLSv1.3","","204","","Application Data"
"149","6.790195","10.169.156.72","142.250.184.110","TCP","","66","","49514  >  443 [ACK] Seq=2324 Ack=24602 Win=128064 Len=0 TSval=495590087 TSecr=2034985618"
"150","6.790281","10.169.156.72","142.250.184.110","TCP","","66","","[TCP Window Update] 49514  >  443 [ACK] Seq=2324 Ack=24602 Win=131072 Len=0 TSval=495590087 TSecr=2034985618"
"151","6.790456","142.250.184.110","10.169.156.72","TLSv1.3","","166","","Application Data"
"152","6.790459","142.250.184.110","10.169.156.72","TLSv1.3","","359","","Application Data"
"153","6.790499","10.169.156.72","142.250.184.110","TCP","","66","","49514  >  443 [ACK] Seq=2324 Ack=24995 Win=130624 Len=0 TSval=495590087 TSecr=2034985619"
"154","6.790814","142.250.184.110","10.169.156.72","TLSv1.3","","239","","Application Data"
"155","6.790859","10.169.156.72","142.250.184.110","TCP","","66","","49514  >  443 [ACK] Seq=2324 Ack=25168 Win=130880 Len=0 TSval=495590088 TSecr=2034985620"
"156","6.791129","142.250.184.110","10.169.156.72","TLSv1.3","","1484","","Application Data"
"157","6.791132","142.250.184.110","10.169.156.72","TLSv1.3","","1070","","Application Data"
"158","6.791167","10.169.156.72","142.250.184.110","TCP","","66","","49514  >  443 [ACK] Seq=2324 Ack=27590 Win=128640 Len=0 TSval=495590088 TSecr=2034985620"
"159","6.791755","142.250.184.110","10.169.156.72","TLSv1.3","","1484","","Application Data"
"160","6.791793","10.169.156.72","142.250.184.110","TCP","","66","","49514  >  443 [ACK] Seq=2324 Ack=29008 Win=129600 Len=0 TSval=495590088 TSecr=2034985621"
"161","6.792708","142.250.184.110","10.169.156.72","TLSv1.3","","1484","","Application Data"
"162","6.792711","142.250.184.110","10.169.156.72","TLSv1.3","","580","","Application Data"
"163","6.792712","142.250.184.110","10.169.156.72","TLSv1.3","","458","","Application Data"
"164","6.792745","10.169.156.72","142.250.184.110","TCP","","66","","49514  >  443 [ACK] Seq=2324 Ack=31332 Win=128704 Len=0 TSval=495590089 TSecr=2034985621"
"165","6.797186","10.169.156.72","172.25.1.1","DNS","","78","www.googleapis.com","Standard query 0x43f6 A www.googleapis.com"
"166","6.798512","172.25.1.1","10.169.156.72","DNS","216.58.208.170,216.58.209.42,142.250.184.42,142.250.184.74,142.250.184.106,142.250.180.138,142.250.180.170,216.58.208.138","206","www.googleapis.com","Standard query response 0x43f6 A www.googleapis.com A 216.58.208.170 A 216.58.209.42 A 142.250.184.42 A 142.250.184.74 A 142.250.184.106 A 142.250.180.138 A 142.250.180.170 A 216.58.208.138"
"167","6.798668","10.169.156.72","216.58.208.170","TCP","","78","","49515  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=495590094 TSecr=0 SACK_PERM=1"
"168","6.801102","216.58.208.170","10.169.156.72","TCP","","74","","443  >  49515 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1430 SACK_PERM=1 TSval=558398508 TSecr=495590094 WS=256"
"169","6.801144","10.169.156.72","216.58.208.170","TCP","","66","","49515  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0 TSval=495590096 TSecr=558398508"
"170","6.801278","10.169.156.72","216.58.208.170","TLSv1.3","","583","","Client Hello"
"171","6.805255","216.58.208.170","10.169.156.72","TCP","","66","","443  >  49515 [ACK] Seq=1 Ack=518 Win=66816 Len=0 TSval=558398512 TSecr=495590096"
"172","6.813751","10.169.156.72","172.25.1.1","DNS","","71","i.ytimg.com","Standard query 0xa46e A i.ytimg.com"
"173","6.815046","172.25.1.1","10.169.156.72","DNS","142.250.184.118,142.250.180.150,142.250.180.182,216.58.208.150,216.58.208.182,216.58.209.54,142.250.184.54,142.250.184.86","199","i.ytimg.com","Standard query response 0xa46e A i.ytimg.com A 142.250.184.118 A 142.250.180.150 A 142.250.180.182 A 216.58.208.150 A 216.58.208.182 A 216.58.209.54 A 142.250.184.54 A 142.250.184.86"
