Date,VOL_DL,VOL_UL
14/10/2021 19:00,7966887801,1051727076
14/10/2021 20:00,7764525468,911276958
14/10/2021 21:00,8392483639,909624475
14/10/2021 22:00,8737947697,832856734
14/10/2021 23:00,7927536866,674478707
15/10/2021 00:00,5872943364,519687509
15/10/2021 01:00,3914932244,358023021
15/10/2021 02:00,2441590579,262487602
15/10/2021 03:00,1592744261,189991666
15/10/2021 04:00,1217569655,184398039
15/10/2021 05:00,1253258043,190289852
15/10/2021 06:00,2082133708,242850829
15/10/2021 07:00,3951278564,407110544
15/10/2021 08:00,5966977788,697005581
15/10/2021 09:00,6866091236,999824903
15/10/2021 10:00,6977064343,1124811389
15/10/2021 11:00,7185987361,1180601174
15/10/2021 12:00,7376242289,1130054306
15/10/2021 13:00,7659070461,1006472399
15/10/2021 14:00,8090839730,1099332431
15/10/2021 15:00,8222362375,1206132881
15/10/2021 16:00,7975805863,1166419211
15/10/2021 17:00,7950921259,1138828247
15/10/2021 18:00,7886568754,1066079536
15/10/2021 19:00,7543822401,953496983
15/10/2021 20:00,7425513995,852403565
15/10/2021 21:00,7764888228,818704449
15/10/2021 22:00,7982347827,746869662
15/10/2021 23:00,7197603088,644701553
16/10/2021 00:00,5926496258,525682385
16/10/2021 01:00,4228107060,387836904
16/10/2021 02:00,2761508184,334606328
16/10/2021 03:00,1952717276,265865881
16/10/2021 04:00,1419915683,215417140
16/10/2021 05:00,1242764035,209525721
16/10/2021 06:00,1546813488,203281058
16/10/2021 07:00,2408390963,260225213
16/10/2021 08:00,3910813145,387908172
16/10/2021 09:00,5200799162,578117384
16/10/2021 10:00,5799355188,709222012
16/10/2021 11:00,6145702791,750700243
16/10/2021 12:00,6279152796,782638157
16/10/2021 13:00,6625664186,733529905
16/10/2021 14:00,7319375040,785004908
16/10/2021 15:00,7494855157,810923716
16/10/2021 16:00,7363223063,819107821
16/10/2021 17:00,7496569759,856899244
16/10/2021 18:00,9248676232,920002755
16/10/2021 19:00,9439991330,917485562
16/10/2021 20:00,8148500966,849554015
16/10/2021 21:00,9059708134,820366579
16/10/2021 22:00,9411534765,770856608
16/10/2021 23:00,7871320741,698355566
17/10/2021 00:00,6406605008,562869481
17/10/2021 01:00,4656669697,421342349
17/10/2021 02:00,3150533769,346199303
17/10/2021 03:00,2153300270,279768476
17/10/2021 04:00,1522918628,233103587
17/10/2021 05:00,1220812401,204434832
17/10/2021 06:00,1268728737,185478653
17/10/2021 07:00,1774241658,201531814
17/10/2021 08:00,3130218265,311233573
17/10/2021 09:00,4593086673,475055264
17/10/2021 10:00,5513065501,608727813
17/10/2021 11:00,6044826649,730062357
17/10/2021 12:00,6397637976,730419147
17/10/2021 13:00,6704501774,712237171
17/10/2021 14:00,7384436310,737189487
17/10/2021 15:00,7869179661,783910134
17/10/2021 16:00,7948253149,819030308
17/10/2021 17:00,7640649888,831552261
17/10/2021 18:00,8504983544,868852555
17/10/2021 19:00,8941365051,861276449
17/10/2021 20:00,8802281727,844214118
17/10/2021 21:00,10472197177,884121791
17/10/2021 22:00,10619304730,844232732
17/10/2021 23:00,8462369980,694990662
18/10/2021 00:00,6018842580,502661849
18/10/2021 01:00,3789026669,336829348
18/10/2021 02:00,2255658336,256858000
18/10/2021 03:00,1448004777,214387838
18/10/2021 04:00,1074770685,176511504
18/10/2021 05:00,1040399599,189055909
18/10/2021 06:00,1808611996,235895997
18/10/2021 07:00,3770762714,410489715
18/10/2021 08:00,6043487130,703564119
18/10/2021 09:00,6925241345,942202348
18/10/2021 10:00,6909815209,1068441018
18/10/2021 11:00,7165141081,1148438981
18/10/2021 12:00,7601294765,1129435135
18/10/2021 13:00,8055623280,1021749214
18/10/2021 14:00,8284417804,1104242938
18/10/2021 15:00,8255289340,1237556239
18/10/2021 16:00,8117289542,1249958101
18/10/2021 17:00,8246264487,1211947985
18/10/2021 18:00,8346988602,1180462487
18/10/2021 19:00,8164144497,1050181381
18/10/2021 20:00,8100019105,947670280
18/10/2021 21:00,9071687346,946820055
18/10/2021 22:00,9488851825,887206721
18/10/2021 23:00,8378479364,705308299
19/10/2021 00:00,6063562181,520058737
19/10/2021 01:00,3782305650,345421917
19/10/2021 02:00,2230460970,266984647
19/10/2021 03:00,1485686430,211431670
19/10/2021 04:00,1186253890,177680833
19/10/2021 05:00,1127677056,187981306
19/10/2021 06:00,2020327761,229577186
19/10/2021 07:00,4075619390,430546015
19/10/2021 08:00,6246846790,711515128
19/10/2021 09:00,6931467760,960979650
19/10/2021 10:00,6992526172,1089877293
19/10/2021 11:00,7213834559,1133114628
19/10/2021 12:00,7637052655,1150382129
19/10/2021 13:00,8257128758,980409438
19/10/2021 14:00,8468036875,1126263849
19/10/2021 15:00,8425518068,1217871714
19/10/2021 16:00,8385528120,1241682996
19/10/2021 17:00,8630334167,1251533342
19/10/2021 18:00,8608814026,1204289188
19/10/2021 19:00,8330574795,1112248918
19/10/2021 20:00,8054846397,948705092
19/10/2021 21:00,9448461221,955359968
19/10/2021 22:00,9911639180,879304134
19/10/2021 23:00,8799391372,759938261
20/10/2021 00:00,6426694616,544810218
20/10/2021 01:00,4020412219,345954220
20/10/2021 02:00,2419405860,273134278
20/10/2021 03:00,1573292549,224256658
20/10/2021 04:00,1224877528,180050932
20/10/2021 05:00,1215320742,172662714
20/10/2021 06:00,2125077534,242338655
20/10/2021 07:00,4315227736,442274751
20/10/2021 08:00,6423152680,740806890
20/10/2021 09:00,7002042119,992997131
20/10/2021 10:00,7059741300,1125314663
20/10/2021 11:00,7277630414,1137328969
20/10/2021 12:00,7698959648,1163067775
20/10/2021 13:00,8202745584,1018675326
20/10/2021 14:00,8388199268,1145262100
20/10/2021 15:00,8374179308,1235298403
20/10/2021 16:00,8397086106,1246117702
20/10/2021 17:00,8634635103,1268167602
20/10/2021 18:00,8733015835,1190659840
20/10/2021 19:00,8484732525,1057756856
20/10/2021 20:00,8435347522,943378831
20/10/2021 21:00,9926108294,947473355
20/10/2021 22:00,10516292126,888783210
20/10/2021 23:00,8732421638,742037194
21/10/2021 00:00,6532772178,544433235
21/10/2021 01:00,4026524730,360081018
21/10/2021 02:00,2554456993,281140227
21/10/2021 03:00,1635524363,223625951
21/10/2021 04:00,1293093108,191973386
21/10/2021 05:00,1263566168,205563364
21/10/2021 06:00,2150586937,242368661
21/10/2021 07:00,4278857300,418781590
21/10/2021 08:00,6305966145,719173448
21/10/2021 09:00,7092795214,991169096
21/10/2021 10:00,7083361869,1060370974
21/10/2021 11:00,7368192443,1165723630
21/10/2021 12:00,7711564905,1143422759
21/10/2021 13:00,8159560198,1002554623
21/10/2021 14:00,8398894144,1141850008
21/10/2021 15:00,8413976810,1212831502
21/10/2021 16:00,8405368452,1219727342
21/10/2021 17:00,8610295736,1255674207
21/10/2021 18:00,8704242931,1212181090
21/10/2021 19:00,8571663401,1081505645
21/10/2021 20:00,8250476230,958960998
21/10/2021 21:00,8947710111,925441611
21/10/2021 22:00,9353073302,838327282
21/10/2021 23:00,8385157019,711696190
22/10/2021 00:00,6352721693,539561939
22/10/2021 01:00,4058236419,360692762
22/10/2021 02:00,2527754915,264791372
22/10/2021 03:00,1709421481,235780448
22/10/2021 04:00,1310304457,192100043
22/10/2021 05:00,1306360801,210018737
22/10/2021 06:00,2139633785,258221207
22/10/2021 07:00,4081969032,435105075
22/10/2021 08:00,6180242607,710787609
22/10/2021 09:00,6833862965,1021089356
22/10/2021 10:00,6952542389,1142852290
22/10/2021 11:00,7126129228,1174268851
22/10/2021 12:00,7541622565,1158558111
22/10/2021 13:00,7895514700,1020331050
22/10/2021 14:00,8305700445,1126515725
22/10/2021 15:00,8243004615,1239393591
22/10/2021 16:00,8260359922,1203453110
22/10/2021 17:00,8284265974,1222902147
22/10/2021 18:00,8396025287,1142510008
22/10/2021 19:00,8238089832,999001376
22/10/2021 20:00,7980894596,919258258
22/10/2021 21:00,8153310726,867376367
22/10/2021 22:00,8219798214,801382808
22/10/2021 23:00,7437157505,706639789
23/10/2021 00:00,6244475745,574971884
23/10/2021 01:00,4365983441,426409245
23/10/2021 02:00,2971423628,373776496
23/10/2021 03:00,2017081153,280526775
23/10/2021 04:00,1555200151,245358221
23/10/2021 05:00,1305809630,225364342
